Date,BAJAJ,HERO
11/21/2017,3027.043457,3265.31665
11/22/2017,3038.921387,3249.827881
11/23/2017,2994.390625,3264.074463
11/24/2017,3016.082764,3242.682617
11/27/2017,3000.581543,3251.33667
11/28/2017,3016.862305,3260.745605
11/29/2017,3041.397705,3245.390137
11/30/2017,3031.858887,3225.285156
12/1/2017,2950.593506,3199.011719
12/4/2017,2933.899902,3196.659912
12/5/2017,2901.980957,3124.895996
12/6/2017,2852.130371,3111.626465
12/7/2017,2931.469482,3152.012695
12/8/2017,2946.695313,3124.008789
12/11/2017,2945.044678,3119.83667
12/12/2017,2903.63208,3054.907471
12/13/2017,2890.424072,3035.157959
12/14/2017,2900.972168,3071.638672
12/15/2017,2933.991943,3109.318115
12/18/2017,2959.628174,3138.032471
12/19/2017,3044.975098,3285.066162
12/20/2017,3027.914795,3327.849121
12/21/2017,3017.137695,3378.221436
12/22/2017,3053.367432,3366.549561
12/26/2017,3090.102295,3385.189209
12/27/2017,3062.631592,3361.090576
12/28/2017,3022.365723,3298.957275
12/29/2017,3057.632568,3359.759033
1/1/2018,3016.954346,3327.760498
1/2/2018,3021.998779,3323.100586
1/3/2018,2972.744141,3333.174805
1/4/2018,2994.207275,3318.706543
1/5/2018,3008.332275,3323.810547
1/8/2018,3004.571533,3361.179199
1/9/2018,2974.991455,3328.071289
1/10/2018,2941.879883,3316.931641
1/11/2018,2929.039063,3289.193359
1/12/2018,2912.483154,3272.950439
1/15/2018,2903.907227,3220.980225
1/16/2018,2898.449707,3183.079346
1/17/2018,2929.726563,3165.992432
1/18/2018,2936.193359,3189.514648
1/19/2018,2944.631592,3186.318848
1/22/2018,3003.425049,3198.035645
1/23/2018,3023.099365,3222.045654
1/24/2018,3064.924561,3235.803467
1/25/2018,3037.54541,3169.853516
1/29/2018,3085.424072,3232.474854
1/30/2018,3080.287842,3273.394287
1/31/2018,3060.888672,3276.5896
2/1/2018,3130.413818,3313.425537
2/2/2018,2972.973633,3216.231445
2/5/2018,2921.838867,3227.72583
2/6/2018,2875.565186,3143.80249
2/7/2018,2875.978027,3165.593018
2/8/2018,2896.523438,3179.617188
2/9/2018,2842.683105,3147.574707
2/12/2018,2892.992432,3205.979736
2/14/2018,2852.313721,3191.911377
2/15/2018,2883.269775,3179.471436
2/16/2018,2846.947998,3149.680176
2/19/2018,2779.716309,3123.98999
2/20/2018,2797.372559,3134.582275
2/21/2018,2763.206543,3146.570557
2/22/2018,2728.076904,3137.961914
2/23/2018,2739.175049,3150.130859
2/26/2018,2759.62915,3189.026611
2/27/2018,2783.476563,3231.978271
2/28/2018,2770.543945,3242.073975
3/1/2018,2770.818848,3224.226318
3/5/2018,2699.872314,3205.79248
3/6/2018,2659.193848,3210.705322
3/7/2018,2663.504639,3203.944336
3/8/2018,2681.848877,3233.060059
3/9/2018,2692.396973,3232.744385
3/12/2018,2712.896973,3330.231201
3/13/2018,2725.737793,3336.270508
3/14/2018,2706.292969,3280.518555
3/15/2018,2704.64209,3281.825928
3/16/2018,2669.512451,3196.462891
3/19/2018,2613.562256,3168.699707
3/20/2018,2635.162842,3167.347412
3/21/2018,2615.717773,3122.097412
3/22/2018,2600.262451,3111.911865
3/23/2018,2558.987793,3077.162354
3/26/2018,2612.828613,3138.412354
3/27/2018,2566.646729,3123.088623
3/28/2018,2517.483887,3193.488525
4/2/2018,2576.415039,3286.513184
4/3/2018,2560.868164,3285.56665
4/4/2018,2537.020752,3305.577637
4/5/2018,2575.681396,3409.23877
4/6/2018,2555.731689,3406.805176
4/9/2018,2542.936768,3424.156982
4/10/2018,2537.43335,3351.684326
4/11/2018,2527.435791,3370.65918
4/12/2018,2534.452393,3379.763184
4/13/2018,2555.54834,3358.535156
4/16/2018,2603.335449,3428.168213
4/17/2018,2627.091064,3397.385498
4/18/2018,2625.119385,3369.261719
4/19/2018,2621.358643,3356.462158
4/20/2018,2616.543213,3373.678467
4/23/2018,2616.038574,3351.594482
4/24/2018,2647.820313,3350.422363
4/25/2018,2660.248535,3350.693115
4/26/2018,2646.123535,3390.940674
4/27/2018,2703.174316,3347.357666
4/30/2018,2708.17334,3364.259033
5/2/2018,2720.417969,3302.828613
5/3/2018,2728.9021,3295.166748
5/4/2018,2649.51709,3298.907227
5/7/2018,2673.961182,3288.361328
5/8/2018,2652.819336,3296.698975
5/9/2018,2634.245605,3294.084961
5/10/2018,2593.429443,3286.513184
5/11/2018,2582.376953,3261.544434
5/14/2018,2597.510986,3288.586426
5/15/2018,2589.898193,3289.758301
5/16/2018,2579.12085,3222.964111
5/17/2018,2582.376953,3204.080322
5/18/2018,2556.740723,3209.938965
5/21/2018,2495.333252,3148.508545
5/22/2018,2576.002441,3154.818359
5/23/2018,2545.229736,3139.539551
5/24/2018,2506.569092,3145.804443
5/25/2018,2530.141602,3202.547363
5/28/2018,2559.171143,3244.868652
5/29/2018,2564.583008,3254.423096
5/30/2018,2534.177246,3246.355469
5/31/2018,2522.620361,3195.381348
6/1/2018,2656.763184,3268.755127
6/4/2018,2640.20752,3257.307861
6/5/2018,2611.819824,3254.423096
6/6/2018,2646.398926,3276.777832
6/7/2018,2649.471436,3291.471191
6/8/2018,2636.125977,3276.733154
6/11/2018,2642.592285,3256.135742
6/12/2018,2648.233154,3324.236572
6/13/2018,2667.219482,3332.304199
6/14/2018,2651.397461,3331.222656
6/15/2018,2638.969238,3329.51001
6/18/2018,2655.616699,3304.676025
6/19/2018,2613.883545,3292.597412
6/20/2018,2632.090088,3295.346924
6/21/2018,2595.814209,3276.777832
6/22/2018,2597.740234,3278.986328
6/25/2018,2569.398193,3233.195313
6/26/2018,2579.166504,3215.166992
6/27/2018,2536.516113,3189.161377
6/28/2018,2491.159668,3169.375977
6/29/2018,2577.65332,3131.020996
7/2/2018,2600.446045,3078.649658
7/3/2018,2625.440186,3107.719727
7/4/2018,2732.433838,3117.770752
7/5/2018,2777.27124,3160.091309
7/6/2018,2827.023438,3278.490967
7/9/2018,2825.197998,3255.414551
7/10/2018,2896.1521,3230.175293
7/11/2018,2959.477295,3223.885742
7/12/2018,2898.726318,3225.959961
7/13/2018,2937.994385,3186.359863
7/16/2018,2903.547119,3158.791992
7/17/2018,2896.38623,3216.509277
7/18/2018,2909.116699,3232.690674
7/19/2018,2915.856201,3181.934326
